,Year,Month,Day,xFRF_m,yFRF_m,d10_mm,d25_mm,d50_mm,d75_mm,d90_mm,gridname,GrainCategory
35,2019,11,14,66,960,0.1923,0.241705555555556,0.304384,0.38135,0.473862,../data/AeolisGrids/ML_grids/20191114.txt,1.0
36,2019,11,14,69,960,0.212761111111111,0.266761111111111,0.337508,0.421821428571429,0.514416666666667,../data/AeolisGrids/ML_grids/20191114.txt,1.0
37,2019,11,14,72,960,0.19568,0.238081818181818,0.291377586206897,0.3540625,0.41845,../data/AeolisGrids/ML_grids/20191114.txt,1.0
38,2019,11,14,75,960,0.217840909090909,0.261668181818182,0.321472222222222,0.393263043478261,0.468588461538462,../data/AeolisGrids/ML_grids/20191114.txt,1.0
39,2019,11,14,78,960,0.197792307692308,0.233638,0.27948125,0.334124,0.391153571428571,../data/AeolisGrids/ML_grids/20191114.txt,1.0
40,2019,11,14,81,960,0.201610714285714,0.237816666666667,0.2898,0.360875,0.438922727272727,../data/AeolisGrids/ML_grids/20191114.txt,1.0
41,2019,11,14,84,960,0.220373076923077,0.26365,0.320943333333333,0.383268518518519,0.445033333333333,../data/AeolisGrids/ML_grids/20191114.txt,1.0
42,2019,11,14,87,960,0.2145,0.259686363636364,0.319153448275862,0.382903846153846,0.44565,../data/AeolisGrids/ML_grids/20191114.txt,1.0
43,2019,11,21,60,960,0.1986,0.25334,0.313215517241379,0.37675,0.4401,../data/AeolisGrids/ML_grids/20191121.txt,1.0
44,2019,11,21,63,960,,,,,,../data/AeolisGrids/ML_grids/20191121.txt,1.0
45,2019,11,21,66,960,0.200233333333333,0.250528571428571,0.307933928571429,0.370535416666667,0.4364,../data/AeolisGrids/ML_grids/20191121.txt,1.0
46,2019,11,21,69,960,0.1999125,0.248825,0.302330833333333,0.361320833333333,0.420515,../data/AeolisGrids/ML_grids/20191121.txt,1.0
47,2019,11,21,72,960,0.1904,0.243205263157895,0.301771428571429,0.365534,0.42925,../data/AeolisGrids/ML_grids/20191121.txt,1.0
48,2019,11,21,75,960,0.182871428571429,0.213578846153846,0.254541935483871,0.305146,0.358571428571429,../data/AeolisGrids/ML_grids/20191121.txt,1.0
49,2019,11,21,78,960,0.1746375,0.19986,0.230957692307692,0.266625,0.303532352941177,../data/AeolisGrids/ML_grids/20191121.txt,1.0
50,2019,11,21,81,960,0.17205,0.19818,0.229838461538462,0.26589,0.303636111111111,../data/AeolisGrids/ML_grids/20191121.txt,1.0
51,2019,11,21,84,960,0.1872,0.22101,0.263484848484849,0.313880769230769,0.36584,../data/AeolisGrids/ML_grids/20191121.txt,1.0
52,2019,11,21,87,960,0.202661538461538,0.24,0.286044117647059,0.335106451612903,0.380985294117647,../data/AeolisGrids/ML_grids/20191121.txt,1.0
