,paths,year,month,day,hour,minute,coarse_pix
73,../data/masks/FRF_c1_snap_20160720160000_predseg.png,2016,07,21,16,00,287
74,../data/masks/FRF_c1_snap_20190420160000_predseg.png,2019,04,21,16,00,1824
75,../data/masks/FRF_c1_snap_20200104160000_predseg.png,2020,01,05,16,00,248
76,../data/masks/FRF_c1_snap_20170818160000_predseg.png,2017,08,19,16,00,816
77,../data/masks/FRF_c1_snap_20170322160000_predseg.png,2017,03,23,16,00,607
78,../data/masks/FRF_c1_snap_20180222160000_predseg.png,2018,02,23,16,00,234
79,../data/masks/FRF_c1_snap_20150321160000_predseg.png,2015,03,22,16,00,1988
80,../data/masks/FRF_c1_snap_20190316160000_predseg.png,2019,03,17,16,00,1762
81,../data/masks/FRF_c1_snap_20170124160000_predseg.png,2017,01,25,16,00,131
82,../data/masks/FRF_c1_snap_20190531160000_predseg.png,2019,06,01,16,00,3097
83,../data/masks/FRF_c1_snap_20160814160000_predseg.png,2016,08,15,16,00,485
84,../data/masks/FRF_c1_snap_20190114160000_predseg.png,2019,01,15,16,00,25475
85,../data/masks/FRF_c1_snap_20151231160000_predseg.png,2016,01,01,16,00,153
86,../data/masks/FRF_c1_snap_20201220160000_predseg.png,2020,12,21,16,00,28797
87,../data/masks/FRF_c1_snap_20180714160000_predseg.png,2018,07,15,16,00,696
88,../data/masks/FRF_c1_snap_20150501160000_predseg.png,2015,05,02,16,00,25955
89,../data/masks/FRF_c1_snap_20211024160000_predseg.png,2021,10,25,16,00,332
90,../data/masks/FRF_c1_snap_20150520160000_predseg.png,2015,05,21,16,00,1775
91,../data/masks/FRF_c1_snap_20180806160000_predseg.png,2018,08,07,16,00,1287
92,../data/masks/FRF_c1_snap_20200924160000_predseg.png,2020,09,25,16,00,23475
93,../data/masks/FRF_c1_snap_20200910160000_predseg.png,2020,09,11,16,00,130
94,../data/masks/FRF_c1_snap_20170104160000_predseg.png,2017,01,05,16,00,502
95,../data/masks/FRF_c1_snap_20210103160000_predseg.png,2021,01,04,16,00,212
96,../data/masks/FRF_c1_snap_20170607160000_predseg.png,2017,06,08,16,00,153
97,../data/masks/FRF_c1_snap_20180706160000_predseg.png,2018,07,07,16,00,498
98,../data/masks/FRF_c1_snap_20151012160000_predseg.png,2015,10,13,16,00,1050
99,../data/masks/FRF_c1_snap_20180317160000_predseg.png,2018,03,18,16,00,161
100,../data/masks/FRF_c1_snap_20160108160000_predseg.png,2016,01,09,16,00,23939
101,../data/masks/FRF_c1_snap_20191210160000_predseg.png,2019,12,11,16,00,193
102,../data/masks/FRF_c1_snap_20190528160000_predseg.png,2019,05,29,16,00,2717
103,../data/masks/FRF_c1_snap_20150705160000_predseg.png,2015,07,06,16,00,735
104,../data/masks/FRF_c1_snap_20150410160000_predseg.png,2015,04,11,16,00,1311
105,../data/masks/FRF_c1_snap_20180327160000_predseg.png,2018,03,28,16,00,241
106,../data/masks/FRF_c1_snap_20160514160000_predseg.png,2016,05,15,16,00,450
107,../data/masks/FRF_c1_snap_20181110160000_predseg.png,2018,11,11,16,00,24454
108,../data/masks/FRF_c1_snap_20200907160000_predseg.png,2020,09,08,16,00,265
109,../data/masks/FRF_c1_snap_20160116160000_predseg.png,2016,01,17,16,00,183
110,../data/masks/FRF_c1_snap_20210203160000_predseg.png,2021,02,04,16,00,155
111,../data/masks/FRF_c1_snap_20180404160000_predseg.png,2018,04,05,16,00,440
112,../data/masks/FRF_c1_snap_20161016160000_predseg.png,2016,10,17,16,00,305
113,../data/masks/FRF_c1_snap_20161025160000_predseg.png,2016,10,26,16,00,988
114,../data/masks/FRF_c1_snap_20180206160000_predseg.png,2018,02,07,16,00,201
115,../data/masks/FRF_c1_snap_20190413160000_predseg.png,2019,04,14,16,00,634
116,../data/masks/FRF_c1_snap_20180530160000_predseg.png,2018,05,31,16,00,1232
117,../data/masks/FRF_c1_snap_20211110160000_predseg.png,2021,11,11,16,00,31916
